NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
09019,Applesauce canned unsweetened without added ascorbic acid (includes USDA commodity),0.0,0.17,42.0,88.22
09403,Apricot nectar canned with added ascorbic acid,0.0,0.37,56.0,84.87
09036,Apricot nectar canned without added ascorbic acid,0.0,0.37,56.0,84.87
09029,Apricots canned extra heavy syrup pack without skin solids and liquids,0.0,0.55,96.0,74.33
09025,Apricots canned extra light syrup pack with skin solids and liquids,0.0,0.6,49.0,86.3
09027,Apricots canned heavy syrup pack with skin solids and liquids,0.0,0.53,83.0,77.56
09028,Apricots canned heavy syrup pack without skin solids and liquids,0.0,0.51,83.0,77.66
09357,Apricots canned heavy syrup drained,0.0,0.64,83.0,77.56
09024,Apricots canned juice pack with skin solids and liquids,0.0,0.63,48.0,86.62
09026,Apricots canned light syrup pack with skin solids and liquids,0.0,0.53,63.0,82.56
09022,Apricots canned water pack with skin solids and liquids,0.0,0.71,27.0,92.36
09023,Apricots canned water pack without skin solids and liquids,0.0,0.69,22.0,93.43
09031,Apricots dehydrated (low-moisture) sulfured stewed,0.0,1.93,126.0,63.6
09030,Apricots dehydrated (low-moisture) sulfured uncooked,0.0,4.9,320.0,7.5
09034,Apricots dried sulfured stewed with added sugar,0.0,1.17,113.0,68.45
09033,Apricots dried sulfured stewed without added sugar,0.0,1.2,85.0,75.56
09032,Apricots dried sulfured uncooked,0.0,3.39,241.0,30.89
09035,Apricots frozen sweetened,0.0,0.7,98.0,73.3
09021,Apricots raw,0.0,1.4,48.0,86.35
21527,ARBY'S roast beef sandwich classic,30.0,15.17,242.0,49.91
18522,ARCHWAY Home Style Cookies Chocolate Chip Ice Box,13.0,4.28,497.0,5.01
18524,ARCHWAY Home Style Cookies Coconut Macaroon,0.0,3.02,460.0,11.5
18527,ARCHWAY Home Style Cookies Date Filled Oatmeal,6.0,4.67,400.0,13.49
18528,ARCHWAY Home Style Cookies Dutch Cocoa,7.0,4.5,431.0,9.32
18529,ARCHWAY Home Style Cookies Frosty Lemon,0.0,4.41,430.0,12.03
18532,ARCHWAY Home Style Cookies Iced Molasses,12.0,3.5,420.0,10.34
18533,ARCHWAY Home Style Cookies Iced Oatmeal,8.0,4.89,435.0,9.99
18535,ARCHWAY Home Style Cookies Molasses,25.0,4.25,403.0,11.43
18537,ARCHWAY Home Style Cookies Oatmeal,10.0,5.48,421.0,10.28
18538,ARCHWAY Home Style Cookies Oatmeal Raisin,8.0,5.17,406.0,11.53
18539,ARCHWAY Home Style Cookies Old Fashioned Molasses,25.0,4.27,406.0,10.41
18540,ARCHWAY Home Style Cookies Old Fashioned Windmill Cookies,1.0,5.17,468.0,3.0
18541,ARCHWAY Home Style Cookies Peanut Butter,37.0,9.0,480.0,6.35
18544,ARCHWAY Home Style Cookies Raspberry Filled,6.0,4.35,400.0,14.99
18562,ARCHWAY Home Style Cookies Reduced Fat Ginger Snaps,1.0,4.67,424.0,5.22
18547,ARCHWAY Home Style Cookies Strawberry Filled,6.0,4.35,400.0,14.99
18513,ARCHWAY Home Style Cookies Sugar Free Oatmeal,0.0,5.54,442.0,5.0
11701,Arrowhead cooked boiled drained with salt,0.0,4.49,78.0,77.08
11006,Arrowhead cooked boiled drained without salt,0.0,4.49,78.0,77.08
