NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
13447,"Beef loin top loin steak boneless lip off separable lean and fat trimmed to 0"" fat select cooked grilled",85.0,29.16,207.0,61.71
23341,"Beef loin top loin steak boneless lip off separable lean and fat trimmed to 0"" fat select raw",63.0,22.79,151.0,70.15
13448,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat all grades cooked grilled",91.0,29.53,202.0,61.74
23369,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat all grades raw",60.0,23.07,143.0,70.63
13449,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat choice cooked grilled",87.0,29.22,211.0,60.74
23370,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat choice raw",58.0,22.93,149.0,69.94
13450,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat select cooked grilled",86.0,29.99,189.0,63.25
23371,"Beef loin top loin steak boneless lip off separable lean only trimmed to 0"" fat select raw",62.0,23.3,135.0,71.68
23391,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat all grades cooked grilled",81.0,26.18,264.0,55.99
23388,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat all grades raw",62.0,21.29,199.0,65.33
23389,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat choice cooked grilled",81.0,25.69,275.0,54.87
23395,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat choice raw",61.0,21.13,205.0,64.65
23390,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat select cooked grilled",81.0,26.92,247.0,57.68
23387,"Beef loin top loin steak boneless lip-on separable lean and fat trimmed to 1/8"" fat select raw",64.0,21.54,191.0,66.35
23394,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat all grades cooked grilled",80.0,29.06,198.0,61.54
23386,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat all grades raw",60.0,23.07,143.0,70.63
23392,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat choice cooked grilled",80.0,28.66,208.0,60.58
23385,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat choice raw",58.0,22.93,149.0,69.94
23393,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat select cooked grilled",80.0,29.67,184.0,62.99
23384,"Beef loin top loin steak boneless lip-on separable lean only trimmed to 1/8"" fat select raw",62.0,23.3,135.0,71.68
13910,"Beef loin top loin separable lean and fat trimmed to 1/8"" fat all grades cooked grilled",88.0,26.44,264.0,56.48
13911,"Beef loin top loin separable lean and fat trimmed to 1/8"" fat choice raw",82.0,19.32,237.0,61.49
13914,"Beef loin top loin separable lean and fat trimmed to 1/8"" fat select cooked grilled",79.0,26.72,250.0,57.96
13913,"Beef loin top loin separable lean and fat trimmed to 1/8"" fat select raw",80.0,20.59,224.0,63.95
23278,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat all grades cooked grilled",84.0,26.0,242.0,57.1
23281,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat all grades raw",68.0,19.9,191.0,67.4
23279,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat choice cooked grilled",83.0,26.3,238.0,57.2
23282,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat choice raw",68.0,19.7,199.0,66.5
23280,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat select cooked grilled",85.0,25.5,249.0,56.9
23283,"Beef loin top sirloin cap steak boneless separable lean and fat trimmed to 1/8"" fat select raw",68.0,20.1,179.0,68.6
23241,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat all grades cooked grilled",84.0,28.26,181.0,62.62
23244,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat all grades raw",67.0,21.38,134.0,72.93
23242,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat choice cooked grilled",83.0,28.19,189.0,61.65
23245,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat choice raw",67.0,21.34,138.0,72.52
23243,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat select cooked grilled",85.0,28.36,170.0,64.07
23246,"Beef loin top sirloin cap steak boneless separable lean only trimmed to 1/8"" fat select raw",67.0,21.44,128.0,73.56
23256,"Beef loin top sirloin filet boneless separable lean only trimmed to 0"" fat all grades cooked grilled",79.0,30.58,171.0,62.92
23257,"Beef loin top sirloin filet boneless separable lean only trimmed to 0"" fat choice cooked grilled",81.0,30.45,174.0,62.57
23258,"Beef loin top sirloin filet boneless separable lean only trimmed to 0"" fat select cooked grilled",74.0,30.78,165.0,63.44
23259,"Beef loin top sirloin petite roast boneless separable lean only trimmed to 0"" fat all grades cooked roasted",86.0,29.12,170.0,63.93
23239,"Beef loin top sirloin petite roast boneless separable lean only trimmed to 0"" fat choice cooked roasted",88.0,28.97,173.0,63.64
23260,"Beef loin top sirloin petite roast boneless separable lean only trimmed to 0"" fat select cooked roasted",84.0,29.35,165.0,64.36
23261,"Beef loin top sirloin petite roast/filet boneless separable lean only trimmed to 0"" fat all grades raw",69.0,23.04,128.0,72.67
23240,"Beef loin top sirloin petite roast/filet boneless separable lean only trimmed to 0"" fat choice raw",68.0,23.03,132.0,72.28
23262,"Beef loin top sirloin petite roast/filet boneless separable lean only trimmed to 0"" fat select raw",69.0,23.05,122.0,73.27
23446,Beef New Zealand imported bolar blade separable lean and fat cooked fast roasted,92.0,31.3,228.0,57.82
23447,Beef New Zealand imported bolar blade separable lean and fat raw,57.0,21.29,159.0,70.23
23397,Beef New Zealand imported bolar blade separable lean only cooked fast roasted,91.0,33.53,193.0,60.46
23398,Beef New Zealand imported bolar blade separable lean only raw,56.0,22.09,129.0,73.11
23448,Beef New Zealand imported brisket navel end separable lean and fat cooked braised,72.0,20.14,453.0,38.97
23449,Beef New Zealand imported brisket navel end separable lean and fat raw,62.0,15.81,345.0,53.33
23399,Beef New Zealand imported brisket navel end separable lean only cooked braised,79.0,29.35,265.0,54.88
23401,Beef New Zealand imported brisket navel end separable lean only raw,53.0,19.74,194.0,67.95
23450,Beef New Zealand imported brisket point end separable lean and fat cooked braised,92.0,31.94,250.0,54.66
23451,Beef New Zealand imported brisket point end separable lean and fat raw,55.0,20.05,163.0,70.11
23402,Beef New Zealand imported brisket point end separable lean only cooked braised,95.0,34.51,202.0,58.64
23403,Beef New Zealand imported brisket point end separable lean only raw,54.0,20.92,125.0,73.75
23452,Beef New Zealand imported chuck eye roll separable lean and fat cooked braised,95.0,29.92,252.0,55.95
23453,Beef New Zealand imported chuck eye roll separable lean and fat raw,61.0,19.38,181.0,68.67
23405,Beef New Zealand imported chuck eye roll separable lean only cooked braised,98.0,32.08,208.0,59.68
23454,Beef New Zealand imported cube roll separable lean and fat cooked fast roasted,91.0,27.79,286.0,52.86
23455,Beef New Zealand imported cube roll separable lean and fat raw,60.0,18.22,225.0,63.38
23406,Beef New Zealand imported cube roll separable lean only cooked fast roasted,94.0,30.09,239.0,56.8
23407,Beef New Zealand imported cube roll separable lean only raw,59.0,19.77,161.0,69.43
23456,Beef New Zealand imported eye round separable lean and fat cooked slow roasted,67.0,29.49,168.0,64.99
23457,Beef New Zealand imported eye round separable lean and fat raw,48.0,19.88,129.0,72.9
23408,Beef New Zealand imported eye round separable lean only cooked slow roasted,67.0,29.68,164.0,65.38
23409,Beef New Zealand imported eye round separable lean only raw,47.0,20.15,116.0,74.14
23458,Beef New Zealand imported flank separable lean and fat cooked braised,78.0,30.13,208.0,60.32
23459,Beef New Zealand imported flank separable lean and fat raw,49.0,20.12,161.0,71.79
23410,Beef New Zealand imported flank separable lean only cooked braised,78.0,30.75,194.0,61.51
23411,Beef New Zealand imported flank separable lean only raw,49.0,20.53,142.0,73.62
23460,Beef New Zealand imported flat separable lean and fat cooked braised,92.0,31.86,252.0,54.29
23461,Beef New Zealand imported flat separable lean and fat raw,58.0,20.57,177.0,68.68
23412,Beef New Zealand imported flat separable lean only cooked braised,94.0,33.22,226.0,56.39
23413,Beef New Zealand imported flat separable lean only raw,55.0,21.3,154.0,70.81
23462,Beef New Zealand imported hind shin separable lean and fat cooked braised,88.0,29.82,196.0,61.87
23463,Beef New Zealand imported hind shin separable lean and fat raw,57.0,20.61,147.0,71.41
23416,Beef New Zealand imported hind shin separable lean only cooked braised,89.0,31.23,167.0,64.4
23417,Beef New Zealand imported hind shin separable lean only raw,56.0,21.46,114.0,74.57
23418,Beef New Zealand imported inside raw,55.0,22.16,128.0,72.35
23419,Beef New Zealand imported intermuscular fat cooked,87.0,7.9,560.0,31.16
23420,Beef New Zealand imported intermuscular fat raw,104.0,6.97,602.0,29.04
23422,Beef New Zealand imported knuckle cooked fast fried,76.0,27.51,178.0,64.7
23426,Beef New Zealand imported manufacturing beef cooked boiled,67.0,24.21,126.0,73.1
23427,Beef New Zealand imported manufacturing beef raw,49.0,21.23,119.0,73.84
23464,Beef New Zealand imported oyster blade separable lean and fat cooked braised,87.0,29.79,197.0,62.23
23440,Beef New Zealand imported oyster blade separable lean and fat raw,56.0,21.27,178.0,69.48
23428,Beef New Zealand imported oyster blade separable lean only cooked braised,87.0,29.87,196.0,62.38
23429,Beef New Zealand imported oyster blade separable lean only raw,56.0,21.83,155.0,71.68
23430,Beef New Zealand imported ribs prepared cooked fast roasted,69.0,27.23,197.0,61.82
23431,Beef New Zealand imported ribs prepared raw,57.0,21.31,146.0,71.32
23465,Beef New Zealand imported rump centre separable lean and fat cooked fast fried,78.0,30.01,192.0,61.45
23467,Beef New Zealand imported rump centre separable lean and fat raw,55.0,21.65,145.0,71.87
23432,Beef New Zealand imported rump centre separable lean only cooked fast fried,78.0,30.17,188.0,61.77
23466,Beef New Zealand imported rump centre separable lean only raw,55.0,21.74,141.0,72.22
23468,Beef New Zealand imported striploin separable lean and fat cooked fast fried,69.0,24.89,301.0,52.4
23469,Beef New Zealand imported striploin separable lean and fat raw,57.0,18.49,252.0,60.78
23433,Beef New Zealand imported striploin separable lean only cooked fast fried,70.0,28.53,217.0,59.61
23434,Beef New Zealand imported striploin separable lean only raw,54.0,20.93,150.0,70.41
23435,Beef New Zealand imported subcutaneous fat cooked,63.0,6.5,731.0,15.41
23436,Beef New Zealand imported subcutaneous fat raw,64.0,8.5,685.0,19.91
23437,Beef New Zealand imported sweetbread cooked boiled,249.0,12.53,318.0,56.26
23438,Beef New Zealand imported sweetbread raw,217.0,11.51,303.0,57.67
23470,Beef New Zealand imported tenderloin separable lean and fat cooked fast fried,81.0,29.26,202.0,59.47
23471,Beef New Zealand imported tenderloin separable lean and fat raw,58.0,21.04,146.0,71.18
23439,Beef New Zealand imported tenderloin separable lean only cooked fast fried,81.0,29.37,200.0,59.69
23441,Beef New Zealand imported tenderloin separable lean only raw,58.0,21.19,140.0,71.79
23424,Beef New Zealand imported variety meats and by-products liver cooked boiled,243.0,23.3,150.0,66.44
23414,Beef New Zealand imported variety meats and by-products heart cooked boiled,201.0,31.29,179.0,62.27
23415,Beef New Zealand imported variety meats and by-products heart raw,124.0,18.52,105.0,78.07
23421,Beef New Zealand imported variety meats and by-products kidney cooked boiled,1002.0,27.28,157.0,66.44
23423,Beef New Zealand imported variety meats and by-products kidney raw,404.0,15.68,87.0,80.52
23425,Beef New Zealand imported variety meats and by-products liver raw,254.0,20.5,133.0,70.39
23442,Beef New Zealand imported variety meats and by-products tongue cooked boiled,105.0,18.31,271.0,56.95
23443,Beef New Zealand imported variety meats and by-products tongue raw,81.0,17.77,243.0,65.24
23444,Beef New Zealand imported variety meats and by-products tripe cooked boiled,199.0,19.0,103.0,77.71
23445,Beef New Zealand imported variety meats and by-products tripe uncooked raw,117.0,14.86,77.0,82.19
23214,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat all grades cooked grilled",92.0,29.36,245.0,56.07
23217,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat all grades raw",65.0,20.38,187.0,67.25
23215,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat choice cooked grilled",93.0,28.9,253.0,55.35
23218,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat choice raw",65.0,20.06,195.0,66.55
23216,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat select cooked grilled",91.0,30.06,233.0,57.16
23219,"Beef plate steak boneless inside skirt separable lean and fat trimmed to 0"" fat select raw",65.0,20.87,174.0,68.31
23162,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat all grades cooked grilled",92.0,29.99,234.0,57.0
23163,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat all grades raw",64.0,21.17,164.0,69.5
23164,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat choice cooked grilled",93.0,29.56,242.0,56.33
23165,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat choice raw",64.0,20.89,171.0,68.91
23166,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat select cooked grilled",91.0,30.64,223.0,58.01
23167,"Beef plate steak boneless inside skirt separable lean only trimmed to 0"" fat select raw",63.0,21.61,153.0,70.4
23221,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat all grades cooked grilled",102.0,27.06,292.0,51.41
23224,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat all grades raw",71.0,17.98,232.0,63.17
23222,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat choice cooked grilled",104.0,26.46,300.0,50.82
23225,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat choice raw",71.0,17.69,238.0,62.64
23223,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat select cooked grilled",98.0,27.95,281.0,52.3
23226,"Beef plate steak boneless outside skirt separable lean and fat trimmed to 0"" fat select raw",70.0,18.43,222.0,63.96
23168,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat all grades cooked grilled",102.0,27.68,282.0,52.29
23169,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat all grades raw",69.0,18.74,206.0,65.6
23170,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat choice cooked grilled",105.0,27.03,291.0,51.62
23171,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat choice raw",70.0,18.47,212.0,65.19
23172,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat select cooked grilled",99.0,28.65,268.0,53.31
23173,"Beef plate steak boneless outside skirt separable lean only trimmed to 0"" fat select raw",69.0,19.14,198.0,66.22
23540,"Beef plate inside skirt steak separable lean and fat trimmed to 0"" fat all grades cooked broiled",60.0,26.13,220.0,60.34
13977,"Beef plate inside skirt steak separable lean only trimmed to 0"" fat all grades cooked broiled",85.0,26.66,205.0,61.77
23541,"Beef plate outside skirt steak separable lean and fat trimmed to 0"" fat all grades cooked broiled",59.0,23.51,255.0,57.16
13979,"Beef plate outside skirt steak separable lean only trimmed to 0"" fat all grades cooked broiled",91.0,24.18,233.0,59.17
13020,Beef retail cuts separable fat cooked,95.0,10.65,680.0,18.58
13019,Beef retail cuts separable fat raw,99.0,8.21,674.0,20.21
23191,"Beef rib eye roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat all grades cooked roasted",82.0,23.47,300.0,53.29
23189,"Beef rib eye roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat choice cooked roasted",83.0,23.53,307.0,52.38
23190,"Beef rib eye roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat select cooked roasted",79.0,23.36,290.0,54.66
23146,"Beef rib eye roast bone-in lip-on separable lean only trimmed to 1/8"" fat all grades cooked roasted",80.0,27.12,231.0,58.66
23101,"Beef rib eye roast bone-in lip-on separable lean only trimmed to 1/8"" fat choice cooked roasted",83.0,27.18,240.0,57.57
23147,"Beef rib eye roast bone-in lip-on separable lean only trimmed to 1/8"" fat select cooked roasted",77.0,27.03,219.0,60.3
23198,"Beef rib eye roast boneless lip-on separable lean and fat trimmed to 1/8"" fat all grades cooked roasted",81.0,24.3,292.0,53.79
23199,"Beef rib eye roast boneless lip-on separable lean and fat trimmed to 1/8"" fat choice cooked roasted",82.0,23.92,303.0,52.62
23200,"Beef rib eye roast boneless lip-on separable lean and fat trimmed to 1/8"" fat select cooked roasted",80.0,24.85,277.0,55.56
23159,"Beef rib eye roast boneless lip-on separable lean only trimmed to 1/8"" fat all grades cooked roasted",80.0,28.21,218.0,59.55
23160,"Beef rib eye roast boneless lip-on separable lean only trimmed to 1/8"" fat choice cooked roasted",81.0,27.87,229.0,58.26
23161,"Beef rib eye roast boneless lip-on separable lean only trimmed to 1/8"" fat select cooked roasted",79.0,28.72,202.0,61.49
23188,"Beef rib eye steak bone-in lip-on separable lean and fat trimmed to 1/8"" fat all grades cooked grilled",82.0,22.9,309.0,52.62
23186,"Beef rib eye steak bone-in lip-on separable lean and fat trimmed to 1/8"" fat choice cooked grilled",83.0,22.71,313.0,52.36
23187,"Beef rib eye steak bone-in lip-on separable lean and fat trimmed to 1/8"" fat select cooked grilled",80.0,23.19,304.0,53.01
23156,"Beef rib eye steak bone-in lip-on separable lean only trimmed to 1/8"" fat all grades cooked grilled",80.0,27.4,221.0,59.69
23157,"Beef rib eye steak bone-in lip-on separable lean only trimmed to 1/8"" fat choice cooked grilled",82.0,27.03,229.0,59.13
23158,"Beef rib eye steak bone-in lip-on separable lean only trimmed to 1/8"" fat select cooked grilled",78.0,27.96,210.0,60.51
23227,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat all grades cooked grilled",78.0,24.85,271.0,55.59
23230,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat all grades raw",68.0,19.26,228.0,63.02
23228,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat choice cooked grilled",80.0,23.89,285.0,54.37
23231,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat choice raw",66.0,18.69,241.0,61.82
23229,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat select cooked grilled",77.0,26.29,248.0,57.42
23232,"Beef rib eye steak boneless lip off separable lean and fat trimmed to 0"" fat select raw",61.0,20.12,208.0,64.83
23174,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat all grades cooked grilled",79.0,28.11,206.0,60.91
23175,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat all grades raw",66.0,21.85,154.0,69.93
23176,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat choice cooked grilled",80.0,27.39,215.0,60.09
23177,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat choice raw",63.0,21.44,162.0,69.22
23178,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat select cooked grilled",77.0,29.18,191.0,62.15
23179,"Beef rib eye steak boneless lip off separable lean only trimmed to 0"" fat select raw",70.0,22.46,142.0,71.0
23197,"Beef rib eye steak boneless lip-on separable lean and fat trimmed to 1/8"" fat all grades cooked grilled",80.0,23.69,291.0,54.49
23195,"Beef rib eye steak boneless lip-on separable lean and fat trimmed to 1/8"" fat choice cooked grilled",81.0,22.92,303.0,53.5
23196,"Beef rib eye steak boneless lip-on separable lean and fat trimmed to 1/8"" fat select cooked grilled",79.0,24.83,273.0,55.98
23100,"Beef rib eye steak boneless lip-on separable lean only trimmed to 1/8"" fat all grades cooked grilled",79.0,27.97,207.0,61.36
23148,"Beef rib eye steak boneless lip-on separable lean only trimmed to 1/8"" fat choice cooked grilled",80.0,27.3,217.0,60.57
23149,"Beef rib eye steak boneless lip-on separable lean only trimmed to 1/8"" fat select cooked grilled",77.0,28.98,192.0,62.56
23192,"Beef rib eye steak/roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat all grades raw",69.0,18.13,255.0,60.8
23193,"Beef rib eye steak/roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat choice raw",70.0,17.92,260.0,60.35
23194,"Beef rib eye steak/roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat select raw",68.0,18.44,248.0,61.47
23150,"Beef rib eye steak/roast bone-in lip-on separable lean only trimmed to 1/8"" fat all grades raw",64.0,21.22,166.0,69.24
23151,"Beef rib eye steak/roast bone-in lip-on separable lean only trimmed to 1/8"" fat choice raw",65.0,20.93,173.0,68.58
23152,"Beef rib eye steak/roast bone-in lip-on separable lean only trimmed to 1/8"" fat select raw",62.0,21.65,155.0,70.21
23201,"Beef rib eye steak/roast boneless lip-on separable lean and fat trimmed to 1/8"" fat all grades raw",70.0,18.85,244.0,61.77
23202,"Beef rib eye steak/roast boneless lip-on separable lean and fat trimmed to 1/8"" fat choice raw",68.0,18.39,253.0,60.9
23213,"Beef rib eye steak/roast boneless lip-on separable lean and fat trimmed to 1/8"" fat select raw",74.0,19.55,230.0,63.08
23153,"Beef rib eye steak/roast boneless lip-on separable lean only trimmed to 1/8"" fat all grades raw",66.0,21.99,156.0,70.14
23154,"Beef rib eye steak/roast boneless lip-on separable lean only trimmed to 1/8"" fat choice raw",63.0,21.62,161.0,69.65
23155,"Beef rib eye steak/roast boneless lip-on separable lean only trimmed to 1/8"" fat select raw",70.0,22.55,148.0,70.89
13952,"Beef rib eye small end (ribs 10-12) separable lean and fat trimmed to 0"" fat all grades cooked broiled",89.0,27.27,249.0,57.52
13951,"Beef rib eye small end (ribs 10-12) separable lean and fat trimmed to 0"" fat select cooked broiled",92.0,27.95,234.0,59.16
13284,"Beef rib eye small end (ribs 10-12) separable lean only trimmed to 0"" fat select raw",60.0,21.17,149.0,71.33
23233,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat all grades cooked braised",87.0,24.23,360.0,46.49
23236,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat all grades raw",75.0,16.15,324.0,53.91
23234,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat choice cooked braised",88.0,23.34,372.0,45.56
23237,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat choice raw",76.0,15.75,336.0,52.74
23235,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat select cooked braised",85.0,25.56,341.0,47.88
23238,"Beef rib back ribs bone-in separable lean and fat trimmed to 0"" fat select raw",73.0,16.75,305.0,55.67
23180,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat all grades cooked braised",90.0,28.36,299.0,51.12
23181,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat all grades raw",70.0,19.11,239.0,61.7
23182,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat choice cooked braised",91.0,27.75,306.0,50.5
23183,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat choice raw",72.0,18.72,252.0,60.48
23184,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat select cooked braised",89.0,29.28,287.0,52.05
23185,"Beef rib back ribs bone-in separable lean only trimmed to 0"" fat select raw",67.0,19.71,221.0,63.52
13490,"Beef rib eye small end (ribs 10- 12) separable lean only trimmed to 0"" fat select cooked broiled",95.0,29.93,182.0,63.87
13096,"Beef rib eye small end (ribs 10-12) separable lean and fat trimmed to 0"" fat choice cooked broiled",88.0,26.58,265.0,55.87
13095,"Beef rib eye small end (ribs 10-12) separable lean and fat trimmed to 0"" fat choice raw",68.0,17.51,274.0,58.03
13098,"Beef rib eye small end (ribs 10-12) separable lean only trimmed to 0"" fat choice cooked broiled",90.0,28.88,205.0,61.3
13097,"Beef rib eye small end (ribs 10-12) separable lean only trimmed to 0"" fat choice raw",59.0,20.13,161.0,68.7
13386,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 0"" fat choice cooked roasted",85.0,22.8,372.0,46.1
13387,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 0"" fat select cooked roasted",84.0,23.48,331.0,49.53
13839,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat all grades cooked broiled",80.0,21.55,338.0,48.74
13840,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat all grades cooked roasted",85.0,23.01,355.0,47.73
13838,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat all grades raw",71.0,16.26,316.0,54.51
13842,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat choice cooked broiled",81.0,20.86,370.0,45.96
13843,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat choice cooked roasted",85.0,22.5,378.0,45.9
13841,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat choice raw",72.0,16.03,333.0,53.0
13848,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat prime cooked broiled",86.0,20.65,404.0,43.48
13849,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat prime cooked roasted",85.0,22.86,393.0,44.49
13847,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat prime raw",73.0,15.77,367.0,50.4
13845,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat select cooked broiled",80.0,21.55,324.0,50.25
13846,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat select cooked roasted",84.0,23.4,333.0,49.4
13844,"Beef rib large end (ribs 6-9) separable lean and fat trimmed to 1/8"" fat select raw",70.0,16.52,295.0,56.35
13388,"Beef rib large end (ribs 6-9) separable lean only trimmed to 0"" fat all grades cooked roasted",81.0,27.53,238.0,57.9
13389,"Beef rib large end (ribs 6-9) separable lean only trimmed to 0"" fat choice cooked roasted",81.0,27.53,253.0,56.8
13390,"Beef rib large end (ribs 6-9) separable lean only trimmed to 0"" fat select cooked roasted",81.0,27.53,220.0,59.3
13148,Beef rib shortribs separable lean and fat choice cooked braised,94.0,21.57,471.0,35.72
13147,Beef rib shortribs separable lean and fat choice raw,76.0,14.4,388.0,48.29
13150,Beef rib shortribs separable lean only choice cooked braised,93.0,30.76,295.0,50.15
13149,Beef rib shortribs separable lean only choice raw,59.0,19.05,173.0,69.38
13391,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 0"" fat all grades cooked broiled",89.0,27.27,249.0,57.52
13392,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 0"" fat choice cooked broiled",83.0,24.73,312.0,51.08
13393,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 0"" fat select cooked broiled",83.0,24.91,285.0,52.79
13851,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat all grades cooked broiled",97.0,25.85,291.0,53.65
13852,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat all grades cooked roasted",83.0,22.54,341.0,48.97
13850,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat all grades raw",81.0,19.33,254.0,61.05
13854,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat choice cooked broiled",94.0,24.53,304.0,52.93
13855,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat choice cooked roasted",83.0,22.28,359.0,47.18
13853,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat choice raw",80.0,19.09,263.0,60.11
13860,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat prime cooked broiled",83.0,24.13,354.0,47.36
13861,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat prime cooked roasted",84.0,22.15,411.0,41.82
13859,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat prime raw",70.0,16.74,335.0,53.22
13857,"Beef rib small end (ribs 10-12) separable lean and fat trimmed to 1/8"" fat select cooked broiled",103.0,27.17,278.0,54.36
